timestep,max_q_value,cumulative_reward
1,0.13704335689544678,
2,0.11971396207809448,
3,0.10838234424591064,
4,0.10023920983076096,
5,0.09908348321914673,
6,0.10422122478485107,
7,0.10165467858314514,
8,0.10413052886724472,
9,0.11504232883453369,
10,0.12526756525039673,
11,0.11899355053901672,
12,0.11454959958791733,
13,0.12407594174146652,
14,0.11645054817199707,-14.0
15,0.10890413820743561,
16,0.1009010374546051,
17,0.11209554225206375,
18,0.10345733165740967,
19,0.1015956848859787,
20,0.10761420428752899,
21,0.11724764853715897,
22,0.12758275866508484,
23,0.11754201352596283,
24,0.11051250994205475,
25,0.10688773542642593,
26,0.11398854851722717,
27,0.12173952907323837,
28,0.129291832447052,
29,0.12155500054359436,
30,0.12823323905467987,
31,0.14284394681453705,
32,0.12546049058437347,
33,0.12127715349197388,
34,0.1256188601255417,
35,0.13046500086784363,
36,0.15125004947185516,
37,0.1255210041999817,
38,0.12560546398162842,
39,0.12331609427928925,
40,0.13529646396636963,
41,0.15063200891017914,
42,0.13028858602046967,
43,0.14500588178634644,
44,0.15446993708610535,
45,0.1581408977508545,
46,0.1570517122745514,
47,0.15920892357826233,
48,0.1549449861049652,
49,0.15624266862869263,
50,0.1480335146188736,
51,0.1535254716873169,
52,0.15238597989082336,
53,0.15051940083503723,
54,0.15026572346687317,
55,0.14769083261489868,
56,0.14090833067893982,
57,0.14527544379234314,
58,0.13819481432437897,
59,0.12196983397006989,
60,0.12470608204603195,
61,0.12082489579916,
62,0.13402588665485382,
63,0.13963548839092255,
64,0.1390029788017273,
65,0.13609236478805542,
66,0.1276683807373047,
67,0.11635042726993561,
68,0.11928348243236542,
69,0.12139514088630676,
70,0.11298052221536636,
71,0.11971871554851532,
72,0.11969740688800812,
73,0.11901583522558212,
74,0.1174299493432045,
75,0.12048938870429993,
76,0.12296177446842194,
77,0.12307325005531311,
78,0.11927701532840729,-64.0
79,0.10720732808113098,
80,0.09997439384460449,
81,0.09864595532417297,
82,0.10301642119884491,
83,0.10253142565488815,
84,0.1069534569978714,
85,0.11807014793157578,
86,0.12627695500850677,
87,0.11372983455657959,-9.0
88,0.13322609663009644,
89,0.11473139375448227,
90,0.1330806016921997,
91,0.11564639210700989,
92,0.1329198181629181,
93,0.11618204414844513,
94,0.10269973427057266,
95,0.11863423883914948,
96,0.1039707288146019,
97,0.09632772207260132,
98,0.09599331021308899,
99,0.0974801778793335,
100,0.09897046536207199,
101,0.10699833184480667,
102,0.11699491739273071,
103,0.133314847946167,
104,0.11717906594276428,
105,0.10747498273849487,
106,0.10067211836576462,
107,0.11087708920240402,
108,0.1204235702753067,
109,0.1336265653371811,
110,0.1461440920829773,
111,0.13079945743083954,
112,0.14465293288230896,
113,0.1261754035949707,
114,0.11264534294605255,
115,0.10524117201566696,
