timestep,max_q_value,cumulative_reward
1,0.09912016242742538,
2,0.1035536527633667,
3,0.12022628635168076,
4,0.11189617216587067,
5,0.11363773792982101,
6,0.09326000511646271,
7,0.06640453636646271,
8,0.052945274859666824,
9,0.03305011987686157,
10,0.054492391645908356,
11,0.05692022293806076,
12,0.10006768256425858,
13,0.14989157021045685,
14,0.17409393191337585,
15,0.14545555412769318,
16,0.08146657049655914,
17,0.039738208055496216,
18,0.024770956486463547,
19,0.021107565611600876,
20,0.03133588284254074,
21,0.05871697515249252,
22,0.08438678085803986,
23,0.12346922606229782,
24,0.16753490269184113,
25,0.1626858413219452,
26,0.16398388147354126,
27,0.14564248919487,
28,0.0784410834312439,
29,0.048770174384117126,
30,0.022391080856323242,
31,0.006049405783414841,
32,0.027848981320858,
33,0.05838782340288162,
34,0.14812877774238586,
35,0.18185968697071075,
36,0.18790550529956818,
37,0.1751243770122528,
38,0.11990164965391159,
39,0.06807974725961685,
40,0.047247301787137985,
41,0.0206289142370224,
42,0.007434859871864319,
43,0.037453435361385345,
44,0.07656780630350113,
45,0.14114388823509216,
46,0.1790999472141266,
47,0.19667907059192657,
48,0.18315474689006805,
49,0.10016795992851257,
50,0.05430073291063309,
51,0.03327469527721405,
52,0.037620652467012405,
53,0.03661167994141579,
54,0.03769955039024353,
55,0.04767132177948952,
56,0.09722109138965607,
57,0.13263744115829468,
58,0.16143429279327393,
59,0.14667436480522156,
60,0.12084439396858215,
61,0.07181893289089203,
62,0.03837236762046814,
63,0.007400393486022949,
64,0.025701947510242462,
65,0.041581787168979645,
66,0.10945866256952286,
67,0.16547785699367523,
68,0.20636045932769775,
69,0.21398603916168213,
70,0.1881561428308487,
71,0.12888312339782715,
72,0.06017851084470749,
73,0.04910679906606674,
74,0.01851315051317215,
75,-0.005719728767871857,
76,0.029167138040065765,
77,0.07493171095848083,
78,0.14492255449295044,
79,0.19053316116333008,
80,0.23497530817985535,
81,0.22185467183589935,
82,0.17504768073558807,
83,0.10077963769435883,
84,0.05221034586429596,
85,0.03443276137113571,
86,-0.008376836776733398,
87,0.003079339861869812,
88,0.042180921882390976,
89,0.10251603275537491,
90,0.15343338251113892,
91,0.23814956843852997,
92,0.26749539375305176,
93,0.2507033348083496,
94,0.19783902168273926,
95,0.11514246463775635,
96,0.08321564644575119,
97,0.07342950999736786,
98,-0.004251763224601746,
99,-0.0015214160084724426,
100,0.037720419466495514,
101,0.07866261154413223,
102,0.16342945396900177,
103,0.24383658170700073,
104,0.31163489818573,
105,0.2941927909851074,
106,0.19759595394134521,
107,0.11484899371862411,
108,0.08601349592208862,
109,0.07314038276672363,
110,0.03396078944206238,
111,-0.017530471086502075,
112,0.008518323302268982,
113,0.07587911188602448,
114,0.18046222627162933,
115,0.2909468412399292,
116,0.33247438073158264,
117,0.28031572699546814,
118,0.16997945308685303,
119,0.0689258947968483,
120,0.047259263694286346,
121,0.026343032717704773,
122,-0.024603605270385742,
123,-0.025544241070747375,
