timestep,value_estimate,cumulative_reward
1,0.1272907853126526,
2,0.12735316157341003,
3,0.12742270529270172,
4,0.12770812213420868,
5,0.12798385322093964,
6,0.1281331330537796,
7,0.12829327583312988,
8,0.1283598393201828,
9,0.12799841165542603,
10,0.12764856219291687,
11,0.12706631422042847,
12,0.12640807032585144,
13,0.12532497942447662,
14,0.12419028580188751,
15,0.12322106212377548,
16,0.12248897552490234,
17,0.12132683396339417,
18,0.11980364471673965,
19,0.11832104623317719,
20,0.11645826697349548,
21,0.11494004726409912,
22,0.11319514364004135,
23,0.11137764900922775,
24,0.10956096649169922,
25,0.10795801877975464,
26,0.10643545538187027,
27,0.10461431741714478,
28,0.10323752462863922,
29,0.10180944949388504,
30,0.1002809926867485,
31,0.09916486591100693,
32,0.09838169813156128,
33,0.09797747433185577,
34,0.09743691235780716,
35,0.09669294208288193,
36,0.09599604457616806,
37,0.0950942113995552,
38,0.0946156233549118,
39,0.09429478645324707,
40,0.09420310705900192,
41,0.09389926493167877,
42,0.09357060492038727,
43,0.09317939728498459,
44,0.0930703729391098,
45,0.09322650730609894,
46,0.09319192916154861,
47,0.09369678795337677,
48,0.09436491131782532,
49,0.0949239507317543,
50,0.09599873423576355,
51,0.09683238714933395,
52,0.09747818112373352,
53,0.098044753074646,
54,0.09840527176856995,
55,0.09861056506633759,
56,0.09892715513706207,
57,0.09970609843730927,
58,0.10090167820453644,
59,0.10240072011947632,
60,0.10382165014743805,
61,0.10540488362312317,
62,0.10669726878404617,
63,0.10836625099182129,
64,0.11038261651992798,
65,0.11272282898426056,
66,0.1146925538778305,
67,0.11640534549951553,
68,0.11805827170610428,
69,0.11974243074655533,
70,0.12103919684886932,
71,0.12250789999961853,
72,0.12371978163719177,
73,0.12466198951005936,
74,0.12558810412883759,
75,0.12674997746944427,
76,0.1275225579738617,
77,0.12854453921318054,
78,0.12925732135772705,
79,0.12964923679828644,
80,0.12961924076080322,
81,0.12963226437568665,
82,0.12927347421646118,
83,0.12899550795555115,
84,0.12878239154815674,
85,0.12812596559524536,
86,0.12767620384693146,
87,0.1273581087589264,
88,0.12705852091312408,
89,0.1269207000732422,
90,0.1267954409122467,
91,0.12688934803009033,
92,0.1268402338027954,
93,0.12700903415679932,
94,0.12735769152641296,
95,0.1274455040693283,
96,0.12777328491210938,
97,0.12824136018753052,
98,0.12863929569721222,
99,0.12859556078910828,
100,0.12845362722873688,
101,0.1280815750360489,
102,0.12749138474464417,
103,0.12669852375984192,
104,0.1254899948835373,
105,0.12436668574810028,
106,0.12290766835212708,
107,0.12137539684772491,
108,0.1196078211069107,
109,0.11804059147834778,
110,0.11607764661312103,
111,0.11380068957805634,
112,0.11180667579174042,
113,0.11004072427749634,
114,0.10852377861738205,
115,0.10667479038238525,
116,0.10519734025001526,
117,0.10409752279520035,
118,0.10329663753509521,
119,0.10220520943403244,
120,0.10107438266277313,
121,0.10026057809591293,
122,0.09984874725341797,
123,0.09958156943321228,
124,0.09931840002536774,
125,0.09942299127578735,
126,0.09944231063127518,
127,0.0996384248137474,
128,0.10003228485584259,
129,0.10086633265018463,
130,0.10191310942173004,
131,0.10337719321250916,
132,0.10487344861030579,
133,0.10620780289173126,
134,0.10796008259057999,
135,0.10969690978527069,
136,0.11167176812887192,
137,0.11391685903072357,
138,0.1164606437087059,
139,0.1186332106590271,
140,0.12048574537038803,
141,0.12244558334350586,
142,0.12465126067399979,
143,0.12690609693527222,
144,0.1287134289741516,
145,0.13043086230754852,
146,0.13169780373573303,
147,0.13264614343643188,
148,0.13317398726940155,
149,0.13391128182411194,
150,0.13426969945430756,
151,0.13455435633659363,
152,0.13500599563121796,
153,0.13531461358070374,
154,0.13514253497123718,
155,0.13516765832901,
156,0.1352999359369278,
157,0.1353270709514618,
158,0.1348697990179062,
159,0.13450469076633453,
160,0.1342928111553192,
161,0.13422608375549316,
162,0.13407668471336365,
163,0.13374514877796173,
164,0.13309545814990997,
165,0.13199584186077118,
166,0.13060224056243896,
167,0.12934374809265137,
168,0.12827304005622864,
169,0.12711186707019806,
170,0.12565934658050537,
171,0.12444952130317688,
172,0.12279569357633591,
173,0.12076761573553085,
174,0.11904699355363846,
175,0.11731443554162979,
176,0.11582919210195541,
177,0.11463505029678345,
178,0.11347725242376328,
179,0.11197230964899063,
180,0.11026963591575623,
181,0.10855984687805176,
182,0.10720332711935043,
183,0.10606832057237625,
184,0.10473115742206573,
185,0.10347900539636612,
186,0.10195665061473846,
187,0.10023880004882812,
188,0.09899915009737015,
189,0.09759753942489624,
190,0.09668882191181183,
191,0.09604168683290482,
192,0.09516041725873947,
193,0.09430818259716034,
194,0.09342920035123825,
195,0.0923696830868721,
196,0.0917399674654007,
197,0.09098818898200989,
198,0.09078653156757355,
199,0.09107368439435959,
200,0.09175136685371399,
201,0.09239637851715088,
202,0.09291841834783554,
203,0.09386776387691498,
204,0.09477286040782928,
205,0.0961855947971344,
206,0.0978274792432785,
207,0.09933441132307053,
208,0.10119928419589996,
209,0.10287179052829742,
210,0.10487532615661621,
211,0.10725875198841095,
212,0.1099611297249794,
213,0.11284980922937393,
214,0.11578449606895447,
215,0.1184929758310318,
216,0.12126404792070389,
217,0.12366873025894165,
218,0.12634456157684326,
219,0.12921024858951569,
220,0.1318022906780243,
221,0.13425561785697937,
222,0.13686975836753845,
223,0.139594167470932,
224,0.14177723228931427,
225,0.14384979009628296,
226,0.14571437239646912,
227,0.14731866121292114,
228,0.14860454201698303,
229,0.14988671243190765,
230,0.15094730257987976,
231,0.15175244212150574,
232,0.15220646560192108,
233,0.15249240398406982,
234,0.15239347517490387,
235,0.15235009789466858,
236,0.1523270457983017,
237,0.15219908952713013,
238,0.15210288763046265,
239,0.15148600935935974,
240,0.15056772530078888,
241,0.14908958971500397,
242,0.14744706451892853,
243,0.14524413645267487,
244,0.14298416674137115,
245,0.14079582691192627,
246,0.1381041556596756,
247,0.13556908071041107,
248,0.13284458220005035,
249,0.1298941820859909,
250,0.12649132311344147,
251,0.12333457916975021,
252,0.12032830715179443,
253,0.1172395870089531,
254,0.11444537341594696,
255,0.11181632429361343,
256,0.10934619605541229,
257,0.10709051787853241,
258,0.1045694351196289,
259,0.10179027915000916,
260,0.0988139733672142,
261,0.09561905264854431,
262,0.09223023056983948,
263,0.08937881141901016,
264,0.08672711253166199,
265,0.08410532772541046,
266,0.08139413595199585,
267,0.07882456481456757,
268,0.07687926292419434,
269,0.07480228692293167,
270,0.0732487291097641,
271,0.07210036367177963,
272,0.0712335929274559,
273,0.07031258940696716,
274,0.06938052922487259,
275,0.06844305992126465,
276,0.06766718626022339,
277,0.06745049357414246,
278,0.06718041002750397,
279,0.06691888719797134,
280,0.06691791117191315,
281,0.06721441447734833,
282,0.06821376085281372,
283,0.06986387073993683,
284,0.0716765969991684,
285,0.07385177165269852,
286,0.07603251934051514,
287,0.07887005805969238,
288,0.0815601795911789,
289,0.0841599553823471,
290,0.08736015856266022,
291,0.0909930169582367,
292,0.09469616413116455,
293,0.09887346625328064,
294,0.1029486134648323,
295,0.10743416100740433,
296,0.1117221787571907,
297,0.1156756803393364,
298,0.11991311609745026,
299,0.12377119064331055,
300,0.12740762531757355,
301,0.13125580549240112,
302,0.13514097034931183,
303,0.13896746933460236,
304,0.14241674542427063,
305,0.1454736292362213,
306,0.14839451014995575,
307,0.15108458697795868,
308,0.1535499393939972,
309,0.15599969029426575,
310,0.15791162848472595,
311,0.1592426300048828,
312,0.1605963110923767,
313,0.1615951657295227,
314,0.1625756025314331,
315,0.16292011737823486,
316,0.1628524363040924,
317,0.16255129873752594,
318,0.1622193455696106,
319,0.16140498220920563,
320,0.16059163212776184,
321,0.15914449095726013,
322,0.15772099792957306,
323,0.15566974878311157,
324,0.1530437022447586,
325,0.149848073720932,
326,0.1465417742729187,
327,0.14327490329742432,
328,0.1398465633392334,
329,0.1362421214580536,
330,0.13250277936458588,
331,0.12860625982284546,
332,0.1245422512292862,
333,0.12026555091142654,
334,0.11586691439151764,
335,0.11159997433423996,
336,0.10725443065166473,
337,0.10321497172117233,
338,0.09913749992847443,
339,0.09513173997402191,
340,0.09118536114692688,
341,0.08711986243724823,
342,0.08312937617301941,
343,0.07912074774503708,
344,0.07552861422300339,
345,0.07225758582353592,
346,0.06890656799077988,
347,0.06627291440963745,
348,0.0635683462023735,
349,0.06162067502737045,
350,0.05989281088113785,
351,0.05892036482691765,
352,0.05851702392101288,
353,0.05858533829450607,
354,0.058785080909729004,
355,0.05902758240699768,
356,0.059795159846544266,
357,0.060989949852228165,
358,0.0625169426202774,
359,0.06440512090921402,
360,0.06660338491201401,
361,0.06918737292289734,
362,0.071717768907547,
363,0.07444192469120026,
364,0.07768961787223816,
365,0.08107399940490723,
366,0.08444283157587051,
367,0.08768610656261444,
368,0.09131506830453873,
369,0.09504782408475876,
370,0.09855598211288452,
371,0.10203966498374939,
372,0.10586466640233994,
373,0.11003924906253815,
374,0.11421193182468414,
375,0.11836455762386322,
376,0.12254214286804199,
377,0.12628665566444397,
378,0.12961767613887787,
379,0.13251833617687225,
380,0.13546451926231384,
381,0.13811494410037994,
382,0.14054203033447266,
383,0.14245674014091492,
384,0.14387568831443787,
385,0.1448497176170349,
386,0.14586439728736877,
387,0.14669851958751678,
388,0.1473591923713684,
389,0.14784714579582214,
390,0.14801856875419617,
391,0.14827124774456024,
392,0.14857032895088196,
393,0.14882831275463104,
394,0.14913630485534668,
395,0.14944925904273987,
396,0.14918364584445953,
397,0.1484660655260086,
398,0.1475926786661148,
399,0.14656399190425873,
400,0.14533628523349762,
401,0.14356467127799988,
402,0.14148876070976257,
403,0.13896559178829193,
404,0.1365775465965271,
405,0.13416814804077148,
406,0.13125480711460114,
407,0.12842026352882385,
408,0.12512250244617462,
409,0.12141603231430054,
410,0.1177154928445816,
411,0.11413750052452087,
412,0.11017458140850067,
413,0.10590208321809769,
414,0.10204190015792847,
415,0.09814958274364471,
416,0.09400799870491028,
417,0.0903819352388382,
418,0.08664382994174957,
419,0.08275792002677917,
420,0.07940362393856049,
421,0.07617709040641785,
422,0.07358665019273758,
423,0.07135822623968124,
424,0.06929176300764084,
425,0.06750400364398956,
426,0.06588825583457947,
427,0.06481540203094482,
428,0.06443668901920319,
429,0.0640048161149025,
430,0.06395894289016724,
431,0.06426326930522919,
432,0.06468737870454788,
433,0.06556636840105057,
434,0.06662972271442413,
435,0.06768124550580978,
436,0.06873734295368195,
437,0.07012626528739929,
438,0.0716470330953598,
439,0.07329248636960983,
440,0.07519043982028961,
441,0.07753270119428635,
442,0.07975942641496658,
443,0.08191047608852386,
444,0.0846828818321228,
445,0.0877961739897728,
446,0.0908716544508934,
447,0.09377492964267731,
448,0.09699994325637817,
449,0.10024459660053253,
450,0.10323784500360489,
451,0.10667142271995544,
452,0.11028894782066345,
453,0.11395515501499176,
454,0.11786071956157684,
455,0.12156814336776733,
456,0.12490309774875641,
457,0.12848877906799316,
458,0.1317330151796341,
459,0.13452132046222687,
460,0.13685396313667297,
461,0.13930734992027283,
462,0.14185941219329834,
463,0.1440269649028778,
464,0.1462978720664978,
465,0.14848284423351288,
466,0.15037329494953156,
467,0.15191388130187988,
468,0.15350517630577087,
469,0.15457965433597565,
470,0.1555183231830597,
471,0.1558629721403122,
472,0.15568630397319794,
473,0.1551460325717926,
474,0.15464232861995697,
475,0.15370284020900726,
476,0.15281042456626892,
477,0.1513158529996872,
478,0.14964048564434052,
479,0.14766624569892883,
480,0.14567136764526367,
481,0.14332768321037292,
482,0.1407686471939087,
483,0.13781848549842834,
484,0.13463523983955383,
485,0.13112758100032806,
486,0.12755024433135986,
487,0.12410189211368561,
488,0.12086262553930283,
489,0.11730894446372986,
490,0.1133868396282196,
491,0.10981665551662445,
492,0.10632845759391785,
493,0.10251970589160919,
494,0.09911102056503296,
495,0.09590862691402435,
496,0.09265896677970886,
497,0.08972414582967758,
498,0.08685734868049622,
499,0.0841057151556015,
500,0.08193301409482956,
501,0.0803125649690628,
502,0.07875949889421463,
503,0.07728880643844604,
504,0.07591655105352402,
505,0.07447873800992966,
506,0.07303759455680847,
507,0.07185329496860504,
508,0.0711492970585823,
509,0.0710989236831665,
510,0.07135148346424103,
511,0.0718422681093216,
512,0.07246532291173935,
