timestep,value_estimate,cumulative_reward
1,0.1337452232837677,
2,0.1646423488855362,
3,0.18899254500865936,
4,0.2099146842956543,
5,0.2200714498758316,
6,0.21716363728046417,
7,0.19983048737049103,
8,0.18484923243522644,
9,0.16242778301239014,
10,0.1399562805891037,
11,0.1122572273015976,
12,0.07970629632472992,
13,0.04818969964981079,
14,0.01715044677257538,
15,-0.014768451452255249,
16,-0.052223071455955505,
17,-0.08906290680170059,
18,-0.10122105479240417,
19,-0.11460180580615997,
20,-0.109979048371315,
21,-0.1066116988658905,
22,-0.0967860147356987,
23,-0.08391386270523071,
24,-0.062478646636009216,
25,-0.046542782336473465,
26,-0.035130828619003296,
27,-0.026309993118047714,
28,-0.0065715014934539795,
29,0.019120745360851288,
30,0.05298316478729248,
31,0.10958972573280334,
32,0.15242397785186768,
33,0.21144625544548035,
34,0.24764388799667358,
35,0.2727690041065216,
36,0.28051793575286865,
37,0.2723310589790344,
38,0.25939756631851196,
39,0.23764334619045258,
40,0.21111443638801575,
41,0.18263691663742065,
42,0.14874860644340515,
43,0.12026132643222809,
44,0.08738937973976135,
45,0.05610872060060501,
46,0.030043989419937134,
47,0.018044225871562958,
48,0.002351909875869751,
49,-0.011022202670574188,
50,-0.03939913958311081,
51,-0.06482859700918198,
52,-0.0977783054113388,
53,-0.09695228189229965,
54,-0.0935574471950531,
55,-0.09206607937812805,
56,-0.08182323724031448,
57,-0.08476376533508301,
58,-0.0742098018527031,
59,-0.05248507112264633,
60,-0.03465471416711807,
61,-0.018855009227991104,
62,0.0028559118509292603,
63,0.008761584758758545,
64,0.04031168669462204,
65,0.09183765947818756,
66,0.13378340005874634,
67,0.20503471791744232,
68,0.23501378297805786,
69,0.2685738205909729,
70,0.2802460193634033,
71,0.27983158826828003,
72,0.2670668363571167,
73,0.2552357316017151,
74,0.2417452484369278,
75,0.2234157919883728,
76,0.20198392868041992,
77,0.1742875725030899,
78,0.15408319234848022,
79,0.12263400852680206,
80,0.10069495439529419,
81,0.07035163044929504,
82,0.04065459966659546,
83,0.00702127069234848,
84,-0.001656658947467804,
85,-0.01753992587327957,
86,-0.039714034646749496,
87,-0.033348895609378815,
88,-0.02589508146047592,
89,-0.021924354135990143,
90,-0.016435351222753525,
91,-0.004324350506067276,
92,-0.01898787170648575,
93,-0.031021922826766968,
94,-0.026365723460912704,
95,-0.011699303984642029,
96,-0.00191541388630867,
97,0.02393181622028351,
98,0.033593274652957916,
99,0.0469319149851799,
100,0.08908161520957947,
101,0.13644899427890778,
102,0.1567983627319336,
103,0.1947077214717865,
104,0.21201935410499573,
105,0.23766270279884338,
106,0.24953144788742065,
107,0.25315171480178833,
108,0.24118301272392273,
109,0.22076267004013062,
110,0.20136301219463348,
111,0.17851588129997253,
112,0.15384221076965332,
113,0.1278226226568222,
114,0.09732187539339066,
115,0.07651358842849731,
116,0.05288378894329071,
117,0.01662234216928482,
118,-0.007517911493778229,
119,-0.0392296239733696,
120,-0.0595269650220871,
121,-0.08969656378030777,
122,-0.10082735121250153,
123,-0.09984224289655685,
124,-0.10102720558643341,
125,-0.09083215892314911,
126,-0.07445411384105682,
127,-0.06446506083011627,
128,-0.04472208768129349,
129,-0.018745455890893936,
130,-0.00031324848532676697,
131,0.0193001851439476,
132,0.049737825989723206,
133,0.09395764768123627,
134,0.16301843523979187,
135,0.19713380932807922,
136,0.2237357199192047,
137,0.2381008267402649,
138,0.2409489005804062,
139,0.24541713297367096,
140,0.23628705739974976,
141,0.2177879810333252,
142,0.1936553418636322,
143,0.1680181622505188,
144,0.13646182417869568,
145,0.10723114758729935,
146,0.0755339190363884,
147,0.05956079065799713,
