timestep,max_q_value,cumulative_reward
1,0.231702983379364,
2,0.2317095696926117,
3,0.2316938042640686,
4,0.23167645931243896,
5,0.23162217438220978,
6,0.23155374825000763,
7,0.23148152232170105,
8,0.2313816249370575,
9,0.23125477135181427,
10,0.2311019003391266,
11,0.23096056282520294,
12,0.23088549077510834,
13,0.23059526085853577,
14,0.23033852875232697,
15,0.2300301492214203,
16,0.22970172762870789,
17,0.22941114008426666,
18,0.22910773754119873,
19,0.22885891795158386,
20,0.2286355048418045,
21,0.22839200496673584,
22,0.22827844321727753,
23,0.22818675637245178,
24,0.2280513346195221,
25,0.22788484394550323,
26,0.22777268290519714,
27,0.22771424055099487,
28,0.22762241959571838,
29,0.22758473455905914,
30,0.22760531306266785,
31,0.22762444615364075,
32,0.2276419997215271,
33,0.22765783965587616,
34,0.22754496335983276,
35,0.22755023837089539,
36,0.22742748260498047,
37,0.22742371261119843,
38,0.22741979360580444,
39,0.22735217213630676,
40,0.22721751034259796,
41,0.22707627713680267,
42,0.2269294410943985,
43,0.22691184282302856,
44,0.22702369093894958,
45,0.2271001935005188,
46,0.22718866169452667,
47,0.22732475399971008,
48,0.22747480869293213,
49,0.2278117537498474,
50,0.22811776399612427,
51,0.2284071296453476,
52,0.22877798974514008,
53,0.22908887267112732,
54,0.2294560968875885,
55,0.22980757057666779,
56,0.23023009300231934,
57,0.2306307554244995,
58,0.23098419606685638,
59,0.23110821843147278,
60,0.23131009936332703,
61,0.23138704895973206,
62,0.2313786745071411,
63,0.2314099669456482,
64,0.23144268989562988,
65,0.2314765453338623,
66,0.23147425055503845,
67,0.2314101755619049,
68,0.23131972551345825,
69,0.23126469552516937,
70,0.2312251180410385,
71,0.23120221495628357,
72,0.23117026686668396,
73,0.23113815486431122,
74,0.2311442494392395,
75,0.23116715252399445,
76,0.2311888039112091,
77,0.23122921586036682,
78,0.23128701746463776,
79,0.2313808649778366,
80,0.23147085309028625,
81,0.2315966933965683,
82,0.2317362278699875,
83,0.23185275495052338,
84,0.23190945386886597,
85,0.23185771703720093,
86,0.2317439615726471,
87,0.23157833516597748,
88,0.231377512216568,
89,0.23116834461688995,
90,0.2309763878583908,
91,0.23087000846862793,
92,0.2305077761411667,
93,0.23009216785430908,
94,0.22965246438980103,
95,0.2291991412639618,
96,0.22881586849689484,
97,0.2285354882478714,
98,0.22834324836730957,
99,0.22812806069850922,
100,0.22796539962291718,
101,0.22799992561340332,
102,0.22792258858680725,
103,0.2279607504606247,
104,0.22793157398700714,
105,0.2244560271501541,
106,0.22446773946285248,
107,0.22447621822357178,
108,0.22448137402534485,
109,0.22104312479496002,
110,0.2210002839565277,
111,0.2208627164363861,
112,0.2208014577627182,
113,0.21733510494232178,
114,0.21726030111312866,
115,0.21722786128520966,
116,0.21718129515647888,
117,0.21372348070144653,
118,0.2136399894952774,
119,0.21349717676639557,
120,0.21341833472251892,
121,0.20990264415740967,
122,0.2098395824432373,
123,0.2097819745540619,
124,0.20973026752471924,
125,0.20626506209373474,
126,0.206315815448761,
127,0.20648162066936493,
128,0.2066991627216339,
129,0.20356500148773193,
130,0.2037835270166397,
131,0.204287588596344,
132,0.2048679143190384,
133,0.20212188363075256,
134,0.2028025984764099,
135,0.20314520597457886,
136,0.20359140634536743,
137,0.20094895362854004,
138,0.20140960812568665,
139,0.20185449719429016,
140,0.2023199498653412,
141,0.19963684678077698,
142,0.19989900290966034,
143,0.19987359642982483,
144,0.19980472326278687,
145,0.19685441255569458,
146,0.1968020796775818,
147,0.1967625916004181,
148,0.19677090644836426,
149,0.1940121352672577,
150,0.19405660033226013,
151,0.19409097731113434,
152,0.1941402554512024,
153,0.1915215253829956,
154,0.19156305491924286,
155,0.19163736701011658,
156,0.19168385863304138,
157,0.18895700573921204,
158,0.18900364637374878,
